date,RP(상대가격),GAS_PRICE(산업용도시가스),OIL_PRICE(원유정제처리제품),도시가스(톤)_민수용,도시가스(톤)_산업용,도시가스(톤)_총합(민수용+산업용),민수용비중,산업용비중
1996-01-01 00:00:00,0.97,26.94,27.86,605519,83809,689328,0.87842,0.12158
1996-02-01 00:00:00,0.93,26.94,29.04,566323,70427,636750,0.8894,0.1106
1996-03-01 00:00:00,0.96,26.94,27.99,477514,62652,540166,0.88401,0.11599
1996-04-01 00:00:00,0.94,26.94,28.74,337794,47050,384844,0.87774,0.12226
1996-05-01 00:00:00,0.92,26.94,29.18,184522,30709,215231,0.85732,0.14268
1996-06-01 00:00:00,0.94,26.94,28.73,116416,28534,144950,0.80315,0.19685
1996-07-01 00:00:00,0.86,26.94,31.19,109474,31117,140591,0.77867,0.22133
1996-08-01 00:00:00,0.83,26.94,32.55,94736,28188,122924,0.77069,0.22931
1996-09-01 00:00:00,0.81,26.94,33.11,105143,36977,142120,0.73982,0.26018
1996-10-01 00:00:00,0.79,26.94,34.17,237249,61954,299203,0.79294,0.20706
1996-11-01 00:00:00,0.75,26.94,35.88,434413,79268,513681,0.84569,0.15431
1996-12-01 00:00:00,0.74,26.94,36.3,651230,100546,751776,0.86626,0.13374
1997-01-01 00:00:00,0.69,26.94,39.02,775522,104709,880231,0.88104,0.11896
1997-02-01 00:00:00,0.68,26.94,39.43,640683,84149,724832,0.88391,0.11609
1997-03-01 00:00:00,0.74,28.24,38.35,532435,75136,607571,0.87633,0.12367
1997-04-01 00:00:00,0.81,31.02,38.13,357484,62380,419864,0.85143,0.14857
1997-05-01 00:00:00,0.83,31.02,37.23,248334,59376,307710,0.80704,0.19296
1997-06-01 00:00:00,0.82,31.02,37.77,154617,57654,212271,0.72839,0.27161
1997-07-01 00:00:00,0.87,31.02,35.49,138050,66246,204296,0.67574,0.32426
1997-08-01 00:00:00,0.89,31.02,34.88,119715,62134,181849,0.65832,0.34168
1997-09-01 00:00:00,0.85,31.02,36.32,164985,84552,249537,0.66116,0.33884
1997-10-01 00:00:00,0.84,31.02,36.88,332390,114588,446978,0.74364,0.25636
1997-11-01 00:00:00,0.79,31.02,39.34,510747,125912,636659,0.80223,0.19777
1997-12-01 00:00:00,0.63,39.86,62.8,752219,146195,898414,0.83727,0.16273
1998-01-01 00:00:00,0.6,39.86,66.48,807493,143631,951123,0.84899,0.15101
1998-02-01 00:00:00,0.63,45.3,71.9,663455,118575,782031,0.84837,0.15162
1998-03-01 00:00:00,0.79,45.3,57.24,571545,124297,695842,0.82137,0.17863
1998-04-01 00:00:00,0.8,45.3,56.9,331872,88168,420040,0.7901,0.2099
1998-05-01 00:00:00,0.92,45.3,49.33,215061,86596,301657,0.71293,0.28707
1998-06-01 00:00:00,0.93,45.3,48.77,171457,84263,255719,0.67049,0.32951
1998-07-01 00:00:00,0.93,45.3,48.56,148578,82096,230674,0.6441,0.3559
1998-08-01 00:00:00,0.94,45.3,48.44,143551,80149,223700,0.64171,0.35829
1998-09-01 00:00:00,0.91,45.3,49.66,148313,99828,248141,0.5977,0.4023
1998-10-01 00:00:00,0.81,42.51,52.75,267633,110683,378316,0.70743,0.29257
1998-11-01 00:00:00,0.8,42.51,52.92,589639,147062,736701,0.80038,0.19962
1998-12-01 00:00:00,0.85,42.51,50.28,845802,163127,1008929,0.83832,0.16168
1999-01-01 00:00:00,0.9,41.46,45.99,984487,174067,1158554,0.84975,0.15025
1999-02-01 00:00:00,0.91,41.46,45.48,847927,139679,987606,0.85857,0.14143
1999-03-01 00:00:00,0.92,41.46,45.28,734345,149395,883741,0.83095,0.16905
1999-04-01 00:00:00,0.81,38.56,47.57,462060,114053,576113,0.80203,0.19797
1999-05-01 00:00:00,0.76,38.56,50.69,290920,114552,405471,0.71749,0.28252
1999-06-01 00:00:00,0.75,38.07,50.66,189179,108706,297885,0.63507,0.36493
1999-07-01 00:00:00,0.75,38.07,50.57,163166,118905,282071,0.57846,0.42154
1999-08-01 00:00:00,0.73,38.07,51.99,161284,117823,279108,0.57786,0.42214
1999-09-01 00:00:00,0.7,38.07,54.08,183081,127849,310930,0.58882,0.41118
1999-10-01 00:00:00,0.72,41.78,58.37,402061,170198,572259,0.70259,0.29741
1999-11-01 00:00:00,0.69,41.78,60.97,657325,196487,853812,0.76987,0.23013
1999-12-01 00:00:00,0.69,41.78,60.23,1027319,251488,1278807,0.80334,0.19666
2000-01-01 00:00:00,0.77,44.74,58.07,1148336,248266,1396602,0.82224,0.17776
2000-02-01 00:00:00,0.77,44.74,58.24,1082801,219592,1302393,0.83139,0.16861
2000-03-01 00:00:00,0.77,44.74,58.42,847669,213263,1060932,0.79899,0.20101
2000-04-01 00:00:00,0.77,44.74,57.94,548101,172968,721068,0.76012,0.23988
2000-05-01 00:00:00,0.88,49.06,55.49,350196,164437,514633,0.68048,0.31952
2000-06-01 00:00:00,0.82,49.06,59.67,206964,156473,363437,0.56946,0.43054
2000-07-01 00:00:00,0.82,49.06,59.98,181402,163679,345081,0.52568,0.47432
2000-08-01 00:00:00,0.79,49.06,62.02,179319,168129,347448,0.5161,0.4839
2000-09-01 00:00:00,0.76,49.06,64.65,239174,179575,418749,0.57116,0.42884
2000-10-01 00:00:00,0.77,52.65,68.11,416665,219854,636519,0.6546,0.3454
2000-11-01 00:00:00,0.77,52.65,68.49,763938,264161,1028100,0.74306,0.25694
2000-12-01 00:00:00,0.77,52.65,68.58,1099623,293726,1393349,0.78919,0.21081
2001-01-01 00:00:00,0.87,57.65,66.42,1368105,293287,1661392,0.82347,0.17653
2001-02-01 00:00:00,0.88,57.65,65.88,1108879,251299,1360178,0.81525,0.18475
2001-03-01 00:00:00,0.87,57.65,66.28,950504,257269,1207772,0.78699,0.21301
2001-04-01 00:00:00,0.9,60.56,67.18,552465,192383,744849,0.74171,0.25828
2001-05-01 00:00:00,0.91,60.56,66.19,318955,182192,501146,0.63645,0.36355
2001-06-01 00:00:00,0.91,60.56,66.19,217625,181047,398672,0.54587,0.45413
2001-07-01 00:00:00,0.9,60.56,67.32,212416,182720,395137,0.53758,0.46242
2001-08-01 00:00:00,0.92,60.56,65.7,193381,175939,369320,0.52361,0.47639
2001-09-01 00:00:00,0.93,60.56,65.08,202370,200150,402520,0.50276,0.49724
2001-10-01 00:00:00,0.93,60.56,65.23,383573,224570,608143,0.63073,0.36927
2001-11-01 00:00:00,0.98,60.56,61.95,795997,281975,1077972,0.73842,0.26158
2001-12-01 00:00:00,1.02,59.64,58.45,1246694,325748,1572442,0.79284,0.20716
2002-01-01 00:00:00,0.86,51.11,59.56,1291199,315492,1606691,0.80364,0.19636
2002-02-01 00:00:00,0.85,51.11,60.08,1066290,248165,1314455,0.8112,0.1888
2002-03-01 00:00:00,0.83,51.11,61.72,890162,268288,1158450,0.76841,0.23159
2002-04-01 00:00:00,0.79,51.11,64.61,551890,224015,775905,0.71129,0.28871
2002-05-01 00:00:00,0.77,51.11,66.51,386105,223769,609874,0.63309,0.36691
2002-06-01 00:00:00,0.77,51.11,66.25,251404,199340,450744,0.55775,0.44225
2002-07-01 00:00:00,0.76,51.11,67.22,235945,215771,451717,0.52233,0.47767
2002-08-01 00:00:00,0.77,51.11,66.76,237199,215254,452454,0.52425,0.47575
2002-09-01 00:00:00,0.75,51.11,68.27,264393,219173,483566,0.54676,0.45324
2002-10-01 00:00:00,0.71,51.11,71.66,559568,297623,857191,0.65279,0.34721
2002-11-01 00:00:00,0.74,53.76,73.12,1066576,327793,1394368,0.76492,0.23508
2002-12-01 00:00:00,0.75,53.76,71.34,1293196,345488,1638685,0.78917,0.21083
2003-01-01 00:00:00,0.74,55.31,74.8,1560357,367416,1927774,0.80941,0.19059
2003-02-01 00:00:00,0.72,55.31,76.7,1176215,280765,1456980,0.8073,0.1927
2003-03-01 00:00:00,0.75,58.77,78.68,1054488,308751,1363239,0.77352,0.22648
2003-04-01 00:00:00,0.8,58.77,73.07,643963,242834,886797,0.72617,0.27383
2003-05-01 00:00:00,0.83,58.77,70.62,396910,224652,621562,0.63857,0.36143
2003-06-01 00:00:00,0.85,58.77,69.27,278453,221918,500371,0.55649,0.44351
2003-07-01 00:00:00,0.8,57.54,71.78,269741,228552,498293,0.54133,0.45867
2003-08-01 00:00:00,0.8,57.54,72.27,253603,222390,475994,0.53279,0.46721
2003-09-01 00:00:00,0.75,54.87,72.93,287316,227369,514685,0.55824,0.44176
